"All Bear","All Bear"
"Pci Auth","Pci Авторизация"
"Settings","Настройки"
"Enabled","Включено"
"Passwords minimum length","Минимальная длина пароля"
"Please enter %s or more characters. Leading or trailing spaces will be ignored.","Минимальная длина пароля %s символов."
"The number of unsuccessful login tries to customer lock","Количество неудачных попыток логина после которых происходит блокировка"
"Lockout effective period","Длительность блокировки"
"in minutes","в минутах"
"Time interval to reset the failed login tries counter","Временной интервал между попытками входа при котором сбрасывается счетчик неудачных попыток"
"Last unsuccessful login time","Время последней неудачной попытки входа"
"Unsuccessful login tries count","Количество неудачных попыток входа"
"Locked","Заблокирован"
"This account is locked because of too much unsuccessful login tries.","Этот аккаунт заблокирован из за превышения неудачных попыток входа"
"Lock time","Время блокировки"
"Account deactivation period if not active for more than","Приудительный выход из аккаунта, если не активен в течении"
"Your session was expired","Ваша сессия истекла"
"Password history","Журнал паролей"
"Password was already used by you some times ago. Use new password.","Этот пароль уже использовался вами ранее."
"Customer Id","Id Пользователя"
"Password hash","Хеш пароля"
